Date,Date,Q (m3/s),T (C)
2022-05-07 08:00:00,2022-05-07 08:00:00,0.00591596,
2022-05-07 09:00:00,2022-05-07 09:00:00,0.005839648,
2022-05-07 10:00:00,2022-05-07 10:00:00,0.005667293,
2022-05-07 11:00:00,2022-05-07 11:00:00,0.005724231,
2022-05-07 12:00:00,2022-05-07 12:00:00,0.005446493,
2022-05-07 13:00:00,2022-05-07 13:00:00,0.006495574,
2022-05-07 14:00:00,2022-05-07 14:00:00,0.007887121,
2022-05-07 15:00:00,2022-05-07 15:00:00,0.009413087,
2022-05-07 16:00:00,2022-05-07 16:00:00,0.010068774,
2022-05-07 17:00:00,2022-05-07 17:00:00,0.011126895,
2022-05-07 18:00:00,2022-05-07 18:00:00,0.010198494,
2022-05-07 19:00:00,2022-05-07 19:00:00,0.011043927,
2022-05-07 20:00:00,2022-05-07 20:00:00,0.011717593,
2022-05-07 21:00:00,2022-05-07 21:00:00,0.011175444,
2022-05-07 22:00:00,2022-05-07 22:00:00,0.00946272,
2022-05-07 23:00:00,2022-05-07 23:00:00,0.011568858,
2022-05-08 00:00:00,2022-05-08 00:00:00,0.009746018,
2022-05-08 01:00:00,2022-05-08 01:00:00,0.009260155,
2022-05-08 02:00:00,2022-05-08 02:00:00,0.009186982,
2022-05-08 03:00:00,2022-05-08 03:00:00,0.009718688,
2022-05-08 04:00:00,2022-05-08 04:00:00,0.009117227,
2022-05-08 05:00:00,2022-05-08 05:00:00,0.008831181,
2022-05-08 06:00:00,2022-05-08 06:00:00,0.008409513,
2022-05-08 07:00:00,2022-05-08 07:00:00,0.008914004,
2022-05-08 08:00:00,2022-05-08 08:00:00,0.008684699,
2022-05-08 09:00:00,2022-05-08 09:00:00,0.008978454,
2022-05-08 10:00:00,2022-05-08 10:00:00,0.00922304,
2022-05-08 11:00:00,2022-05-08 11:00:00,0.009384902,
2022-05-08 12:00:00,2022-05-08 12:00:00,0.009010075,
2022-05-08 13:00:00,2022-05-08 13:00:00,0.010337039,
2022-05-08 14:00:00,2022-05-08 14:00:00,0.011863093,
2022-05-08 15:00:00,2022-05-08 15:00:00,0.013265323,
2022-05-08 16:00:00,2022-05-08 16:00:00,0.013651981,
2022-05-08 17:00:00,2022-05-08 17:00:00,0.01148302,
2022-05-08 18:00:00,2022-05-08 18:00:00,0.011282652,
2022-05-08 19:00:00,2022-05-08 19:00:00,0.011165713,
2022-05-08 20:00:00,2022-05-08 20:00:00,0.010889311,
2022-05-08 21:00:00,2022-05-08 21:00:00,0.010249338,
2022-05-08 22:00:00,2022-05-08 22:00:00,0.009008576,
2022-05-08 23:00:00,2022-05-08 23:00:00,0.00898215,
2022-05-09 00:00:00,2022-05-09 00:00:00,0.008754202,
2022-05-09 01:00:00,2022-05-09 01:00:00,0.008753442,
2022-05-09 02:00:00,2022-05-09 02:00:00,0.008157255,
2022-05-09 03:00:00,2022-05-09 03:00:00,0.007326156,
2022-05-09 04:00:00,2022-05-09 04:00:00,0.008426985,
2022-05-09 05:00:00,2022-05-09 05:00:00,0.007709222,
2022-05-09 06:00:00,2022-05-09 06:00:00,0.007048876,
2022-05-09 07:00:00,2022-05-09 07:00:00,0.006562355,
2022-05-09 08:00:00,2022-05-09 08:00:00,0.006853498,
2022-05-09 09:00:00,2022-05-09 09:00:00,0.007187282,
2022-05-09 10:00:00,2022-05-09 10:00:00,0.007767353,
2022-05-09 11:00:00,2022-05-09 11:00:00,0.006963638,
2022-05-09 12:00:00,2022-05-09 12:00:00,0.007932722,
2022-05-09 13:00:00,2022-05-09 13:00:00,0.007714628,
2022-05-09 14:00:00,2022-05-09 14:00:00,0.009923719,
2022-05-09 15:00:00,2022-05-09 15:00:00,0.01065652,
